id,song_name,artist,genre,album,year,popularity,cover_image,spotify_url,mood,language,region,region_group,youtube_url,source,lyrics,history,song_key,artist_key,feature_text
458,Love You Zindagi,"Amit Trivedi, Jasleen Royal, Kausar Munir",bollywood,Dear Zindagi (Original Motion Picture Soundtrack),2016.0,59.0,https://i.scdn.co/image/ab67616d0000b27349079e6945b600abe668cae4,https://open.spotify.com/track/6k3XXCE1ZzwevQlxf8dNaw,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,love you zindagi,amit trivedi jasleen royal kausar munir,"song Love You Zindagi artist Amit Trivedi, Jasleen Royal, Kausar Munir genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
459,"Waada Raha Sanam (From ""Khiladi"")",Abhijeet,bollywood,Sensational Duets (Abhijeet & Alka Yagnik),2016.0,59.0,https://i.scdn.co/image/ab67616d0000b273e502f2e2b6e5560e2f67208c,https://open.spotify.com/track/3SwkKcpCModXgfYCFn67CA,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,waada raha sanam from khiladi,abhijeet,"song Waada Raha Sanam (From ""Khiladi"") artist Abhijeet genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
460,Mere Baba,"Jubin Nautiyal, Payal Dev, Manoj Muntashir",bollywood,Mere Baba,2022.0,58.0,https://i.scdn.co/image/ab67616d0000b273716fc8baed5c837d29333e02,https://open.spotify.com/track/0CguRnSNJQQR5ydaT8vU7R,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,mere baba,jubin nautiyal payal dev manoj muntashir,"song Mere Baba artist Jubin Nautiyal, Payal Dev, Manoj Muntashir genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
461,Kar Gayi Chull,"Badshah, Amaal Mallik, Fazilpuria, Sukriti Kakar, Neha Kakkar",bollywood,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),2016.0,59.0,https://i.scdn.co/image/ab67616d0000b273739d47018b9361084a51663e,https://open.spotify.com/track/3BhjbaGeI7E0CiIjctfdD3,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,kar gayi chull,badshah amaal mallik fazilpuria sukriti kakar neha kakkar,"song Kar Gayi Chull artist Badshah, Amaal Mallik, Fazilpuria, Sukriti Kakar, Neha Kakkar genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
462,Kabira (Encore),"Pritam, Harshdeep Kaur, Arijit Singh",bollywood,Yeh Jawaani Hai Deewani,2013.0,60.0,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,https://open.spotify.com/track/3jJ5HgLRNydtLRghjWVaCG,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,kabira encore,pritam harshdeep kaur arijit singh,"song Kabira (Encore) artist Pritam, Harshdeep Kaur, Arijit Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
463,Vaaste,"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi",bollywood,Vaaste,2019.0,60.0,https://i.scdn.co/image/ab67616d0000b2738dce351c5e4a62c2ea2dd498,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,vaaste,dhvani bhanushali nikhil dsouza tanishk bagchi,"song Vaaste artist Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
464,Beedi,"Sunidhi Chauhan, Sukhwinder Singh, Nachiketa Chakraborty, Clinton Cerejo, Gulzar",bollywood,Omkara (Original Motion Picture Soundtrack),2006.0,59.0,https://i.scdn.co/image/ab67616d0000b273c3b447e3122f0380448aaf11,https://open.spotify.com/track/2S6okBMEo9oWCbdWGrxth3,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,beedi,sunidhi chauhan sukhwinder singh nachiketa chakraborty clinton cerejo gulzar,"song Beedi artist Sunidhi Chauhan, Sukhwinder Singh, Nachiketa Chakraborty, Clinton Cerejo, Gulzar genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
465,Besharmi Ki Height,"Benny Dayal, Shalmali Kholgade",bollywood,Main Tera Hero,2014.0,59.0,https://i.scdn.co/image/ab67616d0000b27340c98561f61a572a20ba71e1,https://open.spotify.com/track/1qtl3vB0uqciZ94g3S6TO7,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,besharmi ki height,benny dayal shalmali kholgade,"song Besharmi Ki Height artist Benny Dayal, Shalmali Kholgade genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
466,"Le Aaunga (From ""Satyaprem Ki Katha"")","Tanishk Bagchi, Arijit Singh",bollywood,"Le Aaunga (From ""Satyaprem Ki Katha"")",2023.0,59.0,https://i.scdn.co/image/ab67616d0000b2732c5e04686b02b8d92c0894ad,https://open.spotify.com/track/2cz4qH4fCauVA93JHkUMad,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,le aaunga from satyaprem ki katha,tanishk bagchi arijit singh,"song Le Aaunga (From ""Satyaprem Ki Katha"") artist Tanishk Bagchi, Arijit Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
467,"Saware (From ""Phantom"")",Arijit Singh,bollywood,Ultimate Love Songs - Arijit Singh,2020.0,59.0,https://i.scdn.co/image/ab67616d0000b2731aa5adad8593923dcdf1a7d0,https://open.spotify.com/track/2y0hUGvHaKm2p5xmJF4HBe,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,saware from phantom,arijit singh,"song Saware (From ""Phantom"") artist Arijit Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
